Subject,Identifier,Location,Classifier,Message,Abnormal,Created At
TubeRack,[Code 128] UUU407,Picker Tube Rack Location Position 2,Picked,,False,10/3/2023 8:32:10 AM
Tube,[ECC 200] 3535860766,A1,Picked,,False,10/3/2023 8:32:10 AM
Tube,[ECC 200] 3535860809,B1,Picked,,False,10/3/2023 8:32:32 AM
Tube,[ECC 200] 2132803173,C1,Picked,,False,10/3/2023 8:32:42 AM
Tube,[ECC 200] 2132803162,D1,Picked,,False,10/3/2023 8:32:51 AM
Tube,[ECC 200] 0385318522,E1,Picked,,False,10/3/2023 8:33:14 AM
Tube,[ECC 200] 0385318545,F1,Picked,,False,10/3/2023 8:33:23 AM
Tube,[ECC 200] 0385318521,G1,Picked,,False,10/3/2023 8:33:46 AM
Tube,[ECC 200] 0385318553,H1,Picked,,False,10/3/2023 8:33:53 AM
Tube,[ECC 200] 3535860748,A2,Picked,,False,10/3/2023 8:34:00 AM
Tube,[ECC 200] 3535861734,B2,Picked,,False,10/3/2023 8:34:11 AM
Tube,[ECC 200] 3535860778,C2,Picked,,False,10/3/2023 8:34:19 AM
Tube,[ECC 200] 3535860793,D2,Picked,,False,10/3/2023 8:34:26 AM
Tube,[ECC 200] 3535860769,E2,Picked,,False,10/3/2023 8:34:33 AM
Tube,[ECC 200] 2132803150,F2,Picked,,False,10/3/2023 8:34:41 AM
Tube,[ECC 200] 2132805182,G2,Picked,,False,10/3/2023 8:34:51 AM
Tube,[ECC 200] 2132805170,H2,Picked,,False,10/3/2023 8:34:58 AM
Tube,[ECC 200] 2132805193,A3,Picked,,False,10/3/2023 8:35:05 AM
Tube,[ECC 200] 3535860724,B3,Picked,,False,10/3/2023 8:35:25 AM
Tube,[ECC 200] 3535860760,C3,Picked,,False,10/3/2023 8:36:08 AM
Tube,[ECC 200] 3535860773,D3,Picked,,False,10/3/2023 8:36:16 AM
Tube,[ECC 200] 2132803169,E3,Picked,,False,10/3/2023 8:36:38 AM
Tube,[ECC 200] 3535861749,F3,Picked,,False,10/3/2023 8:37:00 AM
Tube,[ECC 200] 3535860523,G3,Picked,,False,10/3/2023 8:37:07 AM
Tube,[ECC 200] 2132803157,H3,Picked,,False,10/3/2023 8:37:28 AM
Tube,[ECC 200] 2132803190,A4,Picked,,False,10/3/2023 8:37:50 AM
Tube,[ECC 200] 0385318540,B4,Picked,,False,10/3/2023 8:38:37 AM
Tube,[ECC 200] 2132803160,C4,Picked,,False,10/3/2023 8:39:21 AM
Tube,[ECC 200] 2132805160,D4,Picked,,False,10/3/2023 8:39:30 AM
Tube,[ECC 200] 3535860803,E4,Picked,,False,10/3/2023 8:40:00 AM
Tube,[ECC 200] 0385321172,F4,Picked,,False,10/3/2023 8:40:39 AM
Tube,[ECC 200] 0108484670,G4,Picked,,False,10/3/2023 8:40:48 AM
Tube,[ECC 200] 0385305907,H4,Picked,,False,10/3/2023 8:41:10 AM
Tube,[ECC 200] 2132803182,A5,Picked,,False,10/3/2023 8:41:17 AM
Tube,[ECC 200] 2132803163,B5,Picked,,False,10/3/2023 8:41:24 AM
Tube,[ECC 200] 2132803161,C5,Picked,,False,10/3/2023 8:41:32 AM
Tube,[ECC 200] 2132803184,D5,Picked,,False,10/3/2023 8:41:40 AM
