Receptor,3H-Ligand,Assay Conc. (nM),PRIM Pellet/Plate Ratio,SEC Pellet/Plate Ratio,Assay BB,Reference,Notes
5-HT1A,3H-Way100635,2,1,1,Standard,NAD299,
5-HT1B,3H-GR125743,1.5,1,1,Standard,Ergotamine tartrate,
5-HT1D,3H-GR125743,1.5,3,3,Standard,Ergotamine tartrate,
5-HT1E,3H-5HT,5,1,1,Standard,5-HT,
5-HT1F,3H-LSD,4,1,1,Standard,Lasmiditan,
5-HT2A,3H-Ketanserin,1.5,2,2,Standard,Clozapine,
5-HT2B,3H-LSD,1,1,1,Standard,SB 206553,
5-HT2C,3H-Mesulergine,2.5,1,0.67,Standard,Ritanserin,
5-HT3,3H-Tropistron,1.5,1,1,Standard,Zacopride HCl,
5-HT4,3H-SB-207145,0.5,1,1,Standard,SDZ205557,
5-HT5A,3H-LSD,3,1,1,Standard,Ergotamine tartrate,
5-HT6,3H-LSD,5,0.5,0.25,Standard,Clozapine,
5-HT7A,3H-LSD,4,0.5,0.5,Standard,Clozapine,
A2A,3H-ZM241385,4,1,1,Adenosine,ZM241385,
AT2,3H-Ang II,4,4,4,Standard,PD123319,
Alpha1A,3H-Prazosin,1,0.25,0.25,Alpha1,Prazosin HCL,Cut back on pellet/plate when more than 9 plates. SEC Binding: Report Prazosin HCl at -6 conc.
Alpha1B,3H-Prazosin,1,0.5,0.5,Alpha1,Prazosin HCL,SEC Binding: Report Prazosin HCl at -6 conc.
Alpha1D,3H-Prazosin,1,0.67,0.67,Alpha1,Prazosin HCL,SEC Binding: Report Prazosin HCl at -6 conc.
Alpha2A,3H-Rauwolscine,1.5,0.25,0.25,Alpha2,Oxymetazoline hydrochloride,Cut back on pellet/plate by 30% when more than 9 plates
Alpha2B,3H-Rauwolscine,1.5,0.5,0.5,Alpha2,Yohimbine,
Alpha2C,3H-Rauwolscine,0.9,3,3,Alpha2,Oxymetazoline hydrochloride,
Beta1,3H-CGP12177,1,1,1,Beta,alprenolol HCl,
Beta2,3H-CGP12177,1,0.5,0.5,Beta,alprenolol HCl,
BZP,3H-Flunitrazepam,2,1.5,1.5,BZP,clonazepam,Rat P2 pellet
Ca channel human,3H-Nitrendipine,4.5,1,1,Ca channel BB,Nifedipine,CaV 1.2 pellet & Reference is light sensitive
D1,3H-SCH23390,2,0.5,0.5,Dopamine,(+)-Butaclamol,
D2,3H-Methylspiperone,1.5,1,1,Dopamine,Haloperidol,
D3,3H-Methylspiperone,1.5,1,1,Dopamine,Nemonapride,
D4,3H-Methylspiperone,1.5,1,1,Dopamine,Nemonapride,
D5,3H-SCH23390,2,1,1,Dopamine,SKF 83566,
DAT,3H-Win35428,5,3,3,Transporter,GBR12909,
DOR,3H-DADLE,2,0.5,0.5,Standard,Naltrindole,
GABAA,3H-Muscimol,20,1.5,1.5,GABAA,GABA (gamma-aminobutyric acid),Rat P2 Pellet & Pellet/plate Ratio is estimated & Incubate in cold room
H1,3H-Pyrilamine,1.3,1,1,Histamine,Chlorpheniramine,
H3,3H-MethylHistamine,1.7,1,1,Histamine,Histamine,
H4,3H-Histamine,2,2,2,Histamine,Clozapine,
HERG,3H-Dofetilide,4,0.5,0.5,HERG,Dofetilide,
KOR,3H-U69593,1,1,1,Standard,Salvinorin A,
M1,3H-QNB,1,1.5,1.5,Muscarinic,Atropine,
M1D,3H-QNB,2,1,1,Muscarinic,Atropine,
M2,3H-QNB,1,0.33,0.33,Muscarinic,Atropine,
M2D,3H-QNB,2,2,2,Muscarinic,Atropine,
M3,3H-QNB,1,1.5,1.5,Muscarinic,Atropine,
M3D,3H-QNB,2,1,1,Muscarinic,Atropine,
M4,3H-QNB,1,1.5,1.5,Muscarinic,Atropine,
M4D,3H-QNB,2,1,1,Muscarinic,Atropine,
M5,3H-QNB,1,0.5,0.5,Muscarinic,Atropine,
M5D,3H-QNB,2,1,1,Muscarinic,Atropine,
MOR,3H-DAMGO,2,0.5,0.5,Standard,morphine,
NET,3H-Nisoxetine,2,0.5,0.5,Transporter,Desipramine,
NMDA,3H-MK-801,3.5,1,1,NMDA,MK-801 hydrogen maleate,Rat P5 Pellet & Glycine+Glutamate@100uM in pellet binding buffer
NOP,3H-Nociceptin,1,1,1,Standard,SB612111,
NR2B,3H-Ifenprodil,6,1,1,NMDA,Ifenprodil,
OT,3H-Oxytocin,2,2,2,Oxytocin,Cligosiban,
PBR,3H-PK11195,1,1,1,BZP,"Ro5-4864 / 4'-Chlorodiazepam	",Rat P2 Pellet
SERT,3H-Citalopram,2,0.5,0.67,Transporter,Amitriptyline,
Sigma 1,3H-Pentazocine,5,0.66,0.66,Sigma,Haloperidol,
Sigma 2,3H-DTG,5,0.5,0.5,Sigma,Haloperidol,
V1A,3H-Vasopressin,2,1,1,Vasopressin,TC-OT-39,
V1B,3H-Vasopressin,1.5,1,1,Vasopressin,TASP0390325,
V2,3H-Vasopressin,2,1,1,Vasopressin,Conivaptan,
XP_MCHR1,3H-SNAP84947,5,1,1,MCHR1,reference,For XP 1ug/well
XP_MOR,3H-Naloxone,2,0.2,0.2,Standard,morphine,Special assay conditions for XP research
